SchemaName,TableName,TableDesc,AutoIMWriteTrigger,AutoIMDeleteTrigger,SystemFlag,SysRevID,SysRowID,LastUpdated
Erp,AC_CCEntFd,AC_CCEntFd,FALSE,FALSE,TRUE,278410500,50cf5a59-b54e-429d-ab95-a5310115d768,
Erp,AC_CCFundingSubsidy,AC_CCFundingSubsidy,FALSE,FALSE,TRUE,278410501,1a2858e2-73fb-4c50-ac92-a50500cab564,
Erp,AC_CCHistServiceDtl,AC_CCHistServiceDtl,FALSE,FALSE,TRUE,278410502,d4682006-75b0-4d52-ae36-a53600cc4be0,
Erp,AC_CCIncomeExpenditure,AC_CCIncomeExpenditure,FALSE,FALSE,TRUE,278410503,3800396b-fb28-4436-bcb9-a5310115d768,
Erp,AC_CCLeaveReason,AC_CCLeaveReason,FALSE,FALSE,TRUE,278410504,e0880f70-d60d-46d2-b5dd-a50500cab564,
Erp,AC_CCLocation,AC_CCLocation,FALSE,FALSE,TRUE,278410505,0c21f786-df06-4b12-a862-a50500cab564,
Erp,AC_CCOpServiceTask,AC_CCOpServiceTask,FALSE,FALSE,TRUE,278410506,383ce4a0-6a8f-4911-9899-a5310115d768,
Erp,AC_CCOxyTrt,AC_CCOxyTrt,FALSE,FALSE,TRUE,278410507,a06f6794-5db3-4fee-8380-a5310115d768,
Erp,AC_CCPackage,AC_CCPackage,FALSE,FALSE,TRUE,278410508,04c23e14-6ce4-4114-8493-a50500cab564,
Erp,AC_CCProgram,AC_CCProgram,FALSE,FALSE,TRUE,278410509,9791c4d1-0c06-426c-a411-a50500cab564,
Erp,AC_CCServiceDtl,AC_CCServiceDtl,FALSE,FALSE,TRUE,278410510,0220a935-e7a7-41e3-99cc-a50700ca662e,
Erp,AC_CCServiceDtlTask,AC_CCServiceDtlTask,FALSE,FALSE,TRUE,278410511,017271b0-ef2d-4374-af7e-a51400e7df9a,
Erp,AC_CCServiceLeave,AC_CCServiceLeave,FALSE,FALSE,TRUE,278410512,70e7842b-e63b-4337-acee-a50700ca662e,
Erp,AC_CCServiceLeaveDtl,AC_CCServiceLeaveDtl,FALSE,FALSE,TRUE,278410513,d9cd8a9b-e769-491f-b6f1-a50700ca662e,
Erp,AC_CCServicePlan,AC_CCServicePlan,FALSE,FALSE,TRUE,278410514,16f6677c-ed18-4ea6-ae7c-a50700ca662e,
Erp,AC_CCServicePlanDtl,AC_CCServicePlanDtl,FALSE,FALSE,TRUE,278410515,7613da39-ef5f-426e-a055-a50700ca662e,
Erp,AC_CCServiceRate,AC_CCServiceRate,FALSE,FALSE,TRUE,278410516,640d94fc-9b76-4453-9edd-a5310115d768,
Erp,AC_CCServiceRateDtl,AC_CCServiceRateDtl,FALSE,FALSE,TRUE,278410517,ce48593f-dc54-4445-ac33-a5310115d768,
Erp,AC_CCServiceRecon,AC_CCServiceRecon,FALSE,FALSE,TRUE,278410518,a0116c38-a87f-4939-a4f3-a5310115d768,
Erp,AC_CCServiceReconDtl,AC_CCServiceReconDtl,FALSE,FALSE,TRUE,278410519,2196c8f4-c387-4990-a7c8-a5310115d768,
Erp,AC_CCServiceSched,AC_CCServiceSched,FALSE,FALSE,TRUE,278410520,735eb1e9-d040-402b-a8f2-a50700ca662e,
Erp,AC_CCServiceSchedDtl,AC_CCServiceSchedDtl,FALSE,FALSE,TRUE,278410521,89485601-2cac-4ad1-992b-a50700ca662e,
Erp,AC_CCServiceSchedDtlOthRes,AC_CCServiceSchedDtlOthRes,FALSE,FALSE,TRUE,278410522,8db19797-e4c7-4f58-8770-a50700ca662e,
Erp,AC_CCServiceSchedDtlTask,AC_CCServiceSchedDtlTask,FALSE,FALSE,TRUE,278410523,d6c3ebd0-1c68-416b-b552-a50700ca662e,
Erp,AC_CCServiceTask,AC_CCServiceTask,FALSE,FALSE,TRUE,278410524,a1124149-e4bf-420d-a160-a50500cab564,
Erp,AC_CCServiceType,AC_CCServiceType,FALSE,FALSE,TRUE,278410525,ff2ba58c-8439-4655-90c2-a5310115d768,
Erp,AC_CCServiceTypeArea,AC_CCServiceTypeArea,FALSE,FALSE,TRUE,278410526,4cce22d6-dd6c-4c1d-b70c-a5310115d768,
Erp,AC_CCServiceTypePackage,AC_CCServiceTypePackage,FALSE,FALSE,TRUE,278410527,2af7f7ef-d8fb-4a64-a53e-a5310115d768,
Erp,AC_CCServiceTypeVendor,AC_CCServiceTypeVendor,FALSE,FALSE,TRUE,278410528,a6b17d61-9441-457f-8b47-a5310115d768,
Erp,AC_CompanyConfig,AC_CompanyConfig,FALSE,FALSE,TRUE,278410529,556681de-ecd9-4e89-82ed-a42d01534b86,
Erp,AC_CSLog,AC_CSLog,FALSE,FALSE,TRUE,278410530,8b821657-d57a-4c7b-92c8-a50500e2e45d,
Erp,AC_CustAssessment,AC_CustAssessment,FALSE,FALSE,TRUE,278410531,bf1ac85d-1264-417d-b4ca-a3ff00d1034a,
Erp,AC_CustCnt,,FALSE,FALSE,TRUE,278410532,5d12fd6d-d4f2-44f4-99e6-a0e0014a22b2,
Erp,AC_CustMeansTestedAmt,AC_CustMeansTestedAmt,FALSE,FALSE,TRUE,278410533,9fe954a9-00d8-43f3-96c6-a3720012ad7b,
Erp,AC_Customer,,FALSE,FALSE,TRUE,278410534,3e98db4f-6eb7-404a-9673-a0e0014a22bb,
Erp,AC_CustReference,Client Reference table to store external reference values.,FALSE,FALSE,TRUE,278410535,b1671251-c52c-46b7-a8b2-a0e0014a22ce,
Erp,AC_EmpBasic,AC_EmpBasic,FALSE,FALSE,TRUE,278410536,e9d8e9c4-afe6-4f2d-a9d3-a5310115d768,
Erp,AC_Equip,,FALSE,FALSE,TRUE,278410537,bb0f6892-3489-47fc-b73b-a0e0014a22dc,
Erp,AC_EquipPlan,,FALSE,FALSE,TRUE,278410538,3bb0d1ea-623e-4098-944c-a0e0014a22e1,
Erp,AC_FacilitySummary,AC_FacilitySummary,FALSE,FALSE,TRUE,278410539,73dabb94-1ded-4e95-ad2f-a2d7012940bf,
Erp,AC_HDCase,,FALSE,FALSE,TRUE,278410540,cc5b9109-d6c3-4cc6-9900-a0e0014a22e1,
Erp,AC_HDTopic,,FALSE,FALSE,TRUE,278410541,29671e6e-77ce-4e00-b757-a0e0014a22e6,
Erp,AC_HistBRunRADtl,This table holds the transaction history of each RA Billing Details and holds the Bill To Date for each RA Detail line item. ,FALSE,FALSE,TRUE,278410542,94c60f7f-9042-4c16-8173-a0e0014a22ea,
Erp,AC_JobOper,AC_JobOper,FALSE,FALSE,TRUE,278410543,b5f712bf-4087-4338-88fa-a2d7012940bf,
Erp,AC_JobOperTask,Job Operations Task table.,FALSE,FALSE,TRUE,278410544,6ef28a6c-110a-409b-8820-a0e0014a22f3,
Erp,AC_LoanContract,Loan Contract Setup Data,FALSE,FALSE,TRUE,278410545,83cf903d-a69b-4ffe-bac2-a0e0014a22fd,
Erp,AC_Occupancy,Occupancy Analysis table.,FALSE,FALSE,TRUE,278410546,6a8f52e7-7745-48b5-a8e1-a0e0014a2306,
Erp,AC_OCEvtCDP,AC_OCEvtCDP,FALSE,FALSE,TRUE,278410547,b464e2ad-5c66-406a-ab62-a2d7012940bf,
Erp,AC_OCEvtCEN,AC_OCEvtCEN,FALSE,FALSE,TRUE,278410548,6b196927-6160-4792-865d-a2d7012940bf,
Erp,AC_OCEvtCLE,AC_OCEvtCLE,FALSE,FALSE,TRUE,278410549,c8e41f26-ab58-4e81-bcbb-a2d7012940bf,
Erp,AC_OCEvtCommon,Online Claiming Event - Common Events details table.,FALSE,FALSE,TRUE,278410550,754149b9-80bc-4cd3-bf5d-a0e0014a2314,
Erp,AC_OCEvtRDP,Online Claiming Event - Residential Departure Event details table.,FALSE,FALSE,TRUE,278410551,563fbd33-5a8f-4ed1-9b17-a0e0014a2327,
Erp,AC_OCEvtREE,Online Claiming Event - Residential Enteral Event details table,FALSE,FALSE,TRUE,278410552,41a2d201-fe61-4cf0-869f-a0e0014a2330,
Erp,AC_OCEvtREN,Online Claiming Event - Residential Entry Event details table.,FALSE,FALSE,TRUE,278410553,cc1c5931-1a08-4055-a5ca-a0e0014a233e,
Erp,AC_OCEvtRES,Online Claiming Event - Residential Extra Service Event details table.,FALSE,FALSE,TRUE,278410554,0c0ebf42-2d0d-4ae0-9c32-a0e0014a234c,
Erp,AC_OCEvtRFI,Online Claiming ACFI header table.,FALSE,FALSE,TRUE,278410555,65ee2be1-7918-4b64-bef6-a0e0014a235b,
Erp,AC_OCEvtRFIDtl,Online Claiming ACFI detail table,FALSE,FALSE,TRUE,278410556,32522b8b-2ad9-4cd0-b572-a0e0014a2364,
Erp,AC_OCEvtRLE,Online Claiming Event - Residential Leave Event details table.,FALSE,FALSE,TRUE,278410557,572f24e9-8494-4ed3-a718-a0e0014a2372,
Erp,AC_OCEvtRLI,Online Claiming Event - Residential Liability Event details table.,FALSE,FALSE,TRUE,278410558,0b077b94-0071-4643-97b2-a0e0014a2380,
Erp,AC_OCEvtROX,Online Claiming Event - Residential Oxygen Event details table.,FALSE,FALSE,TRUE,278410559,13ecbefc-ec0d-4220-bb80-a0e0014a2389,
Erp,AC_OCMsgCD,Online Claiming Message Process Codes table.,FALSE,FALSE,TRUE,278410560,3adb43df-1cee-418c-a81b-a0e0014a2397,
Erp,AC_OCMsgEvtCD,Online Claiming Event Process Codes table.,FALSE,FALSE,TRUE,278410561,da8197a1-cca8-4150-b7e8-a0e0014a23a1,
Erp,AC_OCMsgHead,Online Claiming Event header table.,FALSE,FALSE,TRUE,278410562,9088c208-0ac4-4b77-83b1-a0e0014a23af,
Erp,AC_OCResponse,Online Claiming Response data table.,FALSE,FALSE,TRUE,278410563,556d32c0-7dec-4d98-9626-a0e0014a23c1,
Erp,AC_PCashBankingDoc,AC_PCashBankingDoc,FALSE,FALSE,TRUE,278410564,8cb8c52a-4c58-4f39-81cd-a2d7012940bf,
Erp,AC_PCashDeskAddr,AC_PCashDeskAddr,FALSE,FALSE,TRUE,278410565,003309a4-a182-4d9a-bf95-a2d7012940bf,
Erp,AC_PCashDoc,AC_PCashDoc,FALSE,FALSE,TRUE,278410566,afcf69f2-e52a-4b2f-b804-a2d7012940bf,
Erp,AC_PCInputs,,FALSE,FALSE,TRUE,278410567,c303c9c2-6434-479e-851b-a0e0014a23d0,
Erp,AC_PCInValue,,FALSE,FALSE,TRUE,278410568,1f2f3e70-f107-48b8-b1ee-a0e0014a23d9,
Erp,AC_PCStatus,,FALSE,FALSE,TRUE,278410569,1483d9e3-2b82-4421-a805-a0e0014a23e7,
Erp,AC_PlanOper,Service Plan Operations table.,FALSE,FALSE,TRUE,278410570,3537e2fe-efb6-44b7-8a13-a0e0014a23eb,
Erp,AC_PlanOperEquip,Service Plan Operations Equipment table.,FALSE,FALSE,TRUE,278410571,25e89179-111d-4b46-8071-a0e0014a23fe,
Erp,AC_PlanOperRes,Service Plan Operations Resources table.,FALSE,FALSE,TRUE,278410572,23bb29da-c7fc-46a5-9d44-a0e0014a240c,
Erp,AC_PlanOperSched,Service Plan Operations Schedules table.,FALSE,FALSE,TRUE,278410573,a7b07dc4-6278-487a-8257-a0e0014a2416,
Erp,AC_PlanOperSchTask,Service Plan Operations Schedule Tasks table.,FALSE,FALSE,TRUE,278410574,e75d6e1f-d98f-4a24-b737-a0e0014a242d,
Erp,AC_PlanOperTask,Service Plan Operations Task table.,FALSE,FALSE,TRUE,278410575,7e543655-c857-41e2-bb32-a0e0014a2436,
Erp,AC_PRCntMth,Contact method for prospective residents.,FALSE,FALSE,TRUE,278410576,ea5c5b42-5f03-4d83-8f6f-a0e0014a2440,
Erp,AC_PRInActRsn,Inactive reason for the prospective resident.,FALSE,FALSE,TRUE,278410577,5564aef1-c99a-4c3e-8db5-a0e0014a244e,
Erp,AC_PRPref,Preferences for prospective resident.,FALSE,FALSE,TRUE,278410578,92b0bc06-2e02-45e5-b0e5-a0e0014a2457,
Erp,AC_PRRefSrc,Referral Source for the prospective resident.,FALSE,FALSE,TRUE,278410579,9f306c83-42d7-40ec-a679-a0e0014a2465,
Erp,AC_RAAccomPayHist,AC_RAAccomPayHist,FALSE,FALSE,TRUE,278410580,d6c4ee47-3092-498b-bb0c-a3720012ad7b,
Erp,AC_RAAccomPayment,AC_RAAccomPayment,FALSE,FALSE,TRUE,278410581,9725480a-54e4-45c7-933c-a3720012ad7b,
Erp,AC_RAAccomPayRef,AC_RAAccomPayRef,FALSE,FALSE,TRUE,278410582,696e46f8-d70c-431c-89c1-a3720012ad7b,
Erp,AC_RABondAUS,Bond details table for Resident Accommodation Records,FALSE,FALSE,TRUE,278410583,c3750161-74d4-440d-af56-a0e0014a246f,
Erp,AC_RABondRefAUS,Bond Refund Details,FALSE,FALSE,TRUE,278410584,16a54ca6-8447-4530-96ce-a0e0014a2481,
Erp,AC_RABSchDtl,This table holds the Billing Schedule details for RA.,FALSE,FALSE,TRUE,278410585,301e7999-e1ef-436d-8cf6-a0e0014a248b,
Erp,AC_RABSchDtlLeave,AC_RABSchDtlLeave,FALSE,FALSE,TRUE,278410586,85602746-9480-46a8-9c95-a5340170ae6d,
Erp,AC_RABSchDtlMinMax,,FALSE,FALSE,TRUE,278410587,e590f844-68fe-41bc-90ea-a0e0014a249d,
Erp,AC_RABSchDtlRates,This table holds the different rates for the billing schedule for different effective dates. ,FALSE,FALSE,TRUE,278410588,9dd83307-e46c-413e-aa6c-a0e0014a24ab,
Erp,AC_RABSchDtlRBT,,FALSE,FALSE,TRUE,278410589,0f6180fd-bfd5-4fca-ad50-a0e0014a24be,
Erp,AC_RABSchHead,This table holds the header information about RA Billing Schedule.,FALSE,FALSE,TRUE,278410590,2a56ae9d-7eae-441e-8b3e-a0e0014a24cc,
Erp,AC_RABSchMinMax,,FALSE,FALSE,TRUE,278410591,ba9c540e-422f-435c-8f98-a0e0014a24da,
Erp,AC_RACATAsAUS,This table holds the ACAT assessment details for the resident.,FALSE,FALSE,TRUE,278410592,f5069e65-75be-45ab-b5e9-a0e0014a24e8,
Erp,AC_RACFICutPoint,Category Cut Points for ACFI Domain categories.,FALSE,FALSE,TRUE,278410593,8a50a099-6286-4564-982a-a0e0014a2509,
Erp,AC_RACFIDtl,ACFI Assessment detail table.,FALSE,FALSE,TRUE,278410594,a9a5830f-fa76-4e77-abe7-a0e0014a2517,
Erp,AC_RACFIHead,ACFI Assessment header table,FALSE,FALSE,TRUE,278410595,37eaad38-6356-470f-a4be-a0e0014a2587,
Erp,AC_RACFIScores,Score History for aCFI Assessment Domain questions,FALSE,FALSE,TRUE,278410596,50dbea96-cb40-4954-be5d-a0e0014a2606,
Erp,AC_RAContacts,Client Accommodation Contacts table.,FALSE,FALSE,TRUE,278410597,5ed59f6d-f1d4-43f0-a1e5-a0e0014a261d,
Erp,AC_RADtlExServ,Client Extra Service Details,FALSE,FALSE,TRUE,278410598,0cf3c4c1-2b12-4280-9ffc-a0e0014a262b,
Erp,AC_RADtlLiab,Client Liability Details Table,FALSE,FALSE,TRUE,278410599,bccfd8a2-8951-4242-ad1c-a0e0014a2634,
Erp,AC_RAHead,This table holds the header details for the RA.,FALSE,FALSE,TRUE,278410600,6997eb3f-6821-4c44-b4b2-a0e0014a263e,
Erp,AC_RAInvDtl,This table holds RA transaction details. ,FALSE,FALSE,TRUE,278410601,7bf6e967-a923-4192-8348-a0e0014a2668,
Erp,AC_RAInvHead,This table is RA Transaction header table.,FALSE,FALSE,TRUE,278410602,2ffe8e83-5288-4f0b-96da-a0e0014a26c1,
Erp,AC_RALoanAUS,RA Loan AUS table,FALSE,FALSE,TRUE,278410603,ffcd108c-9705-4182-93f6-a0e0014a271e,
Erp,AC_RBT,"This table holds the different billing type for the resident like bond,trust,master etc.",FALSE,FALSE,TRUE,278410604,752fa3e1-f5b8-46e3-998d-a0e0014a272d,
Erp,AC_RCntTp,This table holds different contact types for aged care. These are used only for UI. ,FALSE,FALSE,TRUE,278410605,ee4b3d2a-6875-4841-9ec7-a0e0014a2736,
Erp,AC_RecAdj,,FALSE,FALSE,TRUE,278410606,60368da0-506f-4e78-bc2d-a0e0014a273f,
Erp,AC_RecDtl,,FALSE,FALSE,TRUE,278410607,266eb3af-ba44-467d-b076-a0e0014a274d,
Erp,AC_RecHead,,FALSE,FALSE,TRUE,278410608,00b15d09-41e7-4c6f-b793-a0e0014a2760,
Erp,AC_RecImport,Imported Billing Reconcilliation Payment transactions,FALSE,FALSE,TRUE,278410609,9cee3e70-b728-4441-a05b-a0e0014a276e,
