Company,QueryID,SubQueryID,Relation ID,IsFK,ParentTableID,ChildTableID,JoinType,SystemFlag,SysRevID,SysRowID
,zES_PartBom,7b41332d-3f1f-4783-ae85-8d1a51c3411a,fd9dd2b9-d3bf-4511-8cf2-8f9773c3411a,FALSE,PartMtl,Part,Inner,TRUE,278408586,c5bf265b-1283-4c1d-8a0c-b25a00df7635
,zES_PartBom,7b41332d-3f1f-4783-ae85-8d1a51c3411a,9532d048-98f3-4100-a650-8f9773c3411a,TRUE,Part,PartRev,Inner,TRUE,278408587,6e7ca946-29ab-4573-b7b2-b25a00df7635
,zES_Parttran,df96d611-1a2b-43a8-a782-c21d9bc3411a,618ac6f5-3b6e-4e1c-87e1-28089cc3411a,FALSE,PartTran,Customer,LeftOuter,TRUE,278408588,b76eba77-3c1b-4097-bb49-b25a00df7635
,zES_Parttran,df96d611-1a2b-43a8-a782-c21d9bc3411a,46822a07-cd6a-4914-b0aa-28089cc3411a,FALSE,PartTran,Vendor,LeftOuter,TRUE,278408589,400de152-9b56-4010-8d36-b25a00df7635
,zES_Project,2dfcd802-a0fe-460a-aa44-cadeafc3411a,3e80da7a-08d8-4780-b878-e91bdec3411a,TRUE,Project,OrderDtl,Inner,TRUE,278408590,af00f8ae-fa42-4650-8b53-b25a00df7635
,zES_Project,2dfcd802-a0fe-460a-aa44-cadeafc3411a,1a7acaa8-d4ec-40c5-b556-fa42dec3411a,TRUE,Customer,Project,Inner,TRUE,278408591,93ce4626-4bb4-492f-bde4-b25a00df7635
,zES_Project,2dfcd802-a0fe-460a-aa44-cadeafc3411a,335901d8-0f30-49af-b69c-fa42dec3411a,TRUE,Project,ProjectCst,Inner,TRUE,278408592,fa13381b-d629-4cb6-8d77-b25a00df7635
,zES_PurchaseOrder,badcdb9a-6adb-4d82-a47f-587df1c3411a,e45886b0-9554-4675-9689-951f02c4411a,FALSE,POHeader,PurAgent,Inner,TRUE,278408593,affa67b8-a380-4a38-ac62-b25a00df7635
,zES_PurchaseOrder,badcdb9a-6adb-4d82-a47f-587df1c3411a,10d91d8c-f615-4814-baec-951f02c4411a,FALSE,POHeader,Vendor,Inner,TRUE,278408594,d4d6ab6c-e3fa-4485-b07a-b25a00df7635
,zES_PurchaseOrderLines,41611d27-fdc0-4ee4-a530-f35915c4411a,93fcf4f2-af56-478a-87e9-594416c4411a,TRUE,POHeader,Vendor,Inner,TRUE,278408595,e3c23606-6e22-486b-ba42-b25a00df7635
,zES_PurchaseOrderLines,41611d27-fdc0-4ee4-a530-f35915c4411a,1ab347e2-5513-4dc8-ab69-594416c4411a,TRUE,POHeader,PurAgent,Inner,TRUE,278408596,a856184e-c30b-4d11-b3bf-b25a00df7635
,zES_PurchaseOrderLines,41611d27-fdc0-4ee4-a530-f35915c4411a,d26edcca-b7d8-4f69-bb33-594416c4411a,TRUE,POHeader,PODetail,Inner,TRUE,278408597,759ea7da-8ff7-4855-8813-b25a00df7635
,zES_Quote,6f32e415-fbf6-46eb-a3d3-b77e29c4411a,5a6e9837-b82d-4f60-aae1-166f3ac4411a,FALSE,QuoteHed,Customer,Inner,TRUE,278408598,274a2ebe-634b-4e4c-a120-b25a00df7635
,zES_Quote,6f32e415-fbf6-46eb-a3d3-b77e29c4411a,9d3169b9-8a79-46ca-aee6-166f3ac4411a,FALSE,QuoteHed,Currency,LeftOuter,TRUE,278408599,a789db26-fc21-44e1-bd14-b25a00df7635
,zES_Quote,6f32e415-fbf6-46eb-a3d3-b77e29c4411a,9f4d1c24-e606-455d-b0de-166f3ac4411a,FALSE,MktgEvnt,MktgAdv,LeftOuter,TRUE,278408600,d3b64c02-a28f-48e0-aae3-b25a00df7635
,zES_Quote,6f32e415-fbf6-46eb-a3d3-b77e29c4411a,7676a217-e04e-4dd7-bcfb-166f3ac4411a,FALSE,MktgEvnt,MktgPub,LeftOuter,TRUE,278408601,6a32d61c-eb61-4525-81c6-b25a00df7635
,zES_Quote,6f32e415-fbf6-46eb-a3d3-b77e29c4411a,3faa9687-5ee5-4fa0-91c3-27963ac4411a,FALSE,QuoteHed,MktgCamp,LeftOuter,TRUE,278408602,c7ba3d40-abda-4078-b150-b25a00df7635
,zES_Quote,6f32e415-fbf6-46eb-a3d3-b77e29c4411a,cac9cd0e-f250-494c-93d8-27963ac4411a,FALSE,QuoteHed,ShipVia,LeftOuter,TRUE,278408603,f0c878ff-ed6c-442e-ad33-b25a00df7635
,zES_Quote,6f32e415-fbf6-46eb-a3d3-b77e29c4411a,08f13c06-87a6-47ac-98ea-27963ac4411a,FALSE,QuoteHed,ShipTo,LeftOuter,TRUE,278408604,d4715cf1-35ed-4435-b004-b25a00df7635
,zES_Quote,6f32e415-fbf6-46eb-a3d3-b77e29c4411a,45d810b7-31a6-4397-9e69-27963ac4411a,FALSE,QuoteHed,Reason,LeftOuter,TRUE,278408605,0c760a87-5638-411b-b75d-b25a00df7635
,zES_Quote,6f32e415-fbf6-46eb-a3d3-b77e29c4411a,79261847-68ea-40f9-aa5a-27963ac4411a,FALSE,QuoteHed,SalesTer,LeftOuter,TRUE,278408606,739ed7a0-0030-41cd-b120-b25a00df7635
,zES_Quote,6f32e415-fbf6-46eb-a3d3-b77e29c4411a,afd11675-f60a-429f-aad6-27963ac4411a,FALSE,QuoteHed,MktgEvnt,LeftOuter,TRUE,278408607,8cb8e72c-4e6b-4869-b789-b25a00df7635
,zES_Quote,6f32e415-fbf6-46eb-a3d3-b77e29c4411a,a0589e54-e923-4b0a-b012-27963ac4411a,FALSE,QuoteHed,QuoteCnt,LeftOuter,TRUE,278408608,390a97a9-49d3-4fe4-9667-b25a00df7635
,zES_Quote,6f32e415-fbf6-46eb-a3d3-b77e29c4411a,37f84ede-6ac5-47e7-b09c-27963ac4411a,FALSE,QuoteHed,TaskSet,LeftOuter,TRUE,278408609,fb146940-00e7-4487-b3bf-b25a00df7635
,zES_Quote,6f32e415-fbf6-46eb-a3d3-b77e29c4411a,d931790f-12fa-43eb-bf07-27963ac4411a,FALSE,QuoteHed,Terms,LeftOuter,TRUE,278408610,580fefc4-743a-465d-881a-b25a00df7635
,zES_QuoteLines,3b48cc3e-ae11-4529-ac6a-285d5fc4411a,8155372c-85d1-4f20-8bdb-e30a61c4411a,FALSE,QuoteHed,MktgCamp,LeftOuter,TRUE,278408611,3204128c-4b64-4d1a-a4d7-b25a00df7635
,zES_QuoteLines,3b48cc3e-ae11-4529-ac6a-285d5fc4411a,128b833f-a3f1-4ac5-92d8-e30a61c4411a,FALSE,QuoteDtl,Customer,Inner,TRUE,278408612,0d07daf9-c335-449b-ab9d-b25a00df7635
,zES_QuoteLines,3b48cc3e-ae11-4529-ac6a-285d5fc4411a,661345b7-a67a-4b20-9531-e30a61c4411a,FALSE,MktgEvnt,MktgPub,LeftOuter,TRUE,278408613,3cba6753-f4b7-4da6-8696-b25a00df7635
,zES_QuoteLines,3b48cc3e-ae11-4529-ac6a-285d5fc4411a,c3ca3398-728a-4037-9ed5-e30a61c4411a,FALSE,Customer,SalesTer,Inner,TRUE,278408614,d35c04df-efca-4190-b387-b25a00df7635
,zES_QuoteLines,3b48cc3e-ae11-4529-ac6a-285d5fc4411a,c015e8d8-32a6-4f6f-a465-e30a61c4411a,FALSE,QuoteDtl,QuoteHed,Inner,TRUE,278408615,9c59f555-562e-478d-aa57-b25a00df7635
,zES_QuoteLines,3b48cc3e-ae11-4529-ac6a-285d5fc4411a,abe36ed9-238f-45e2-ae8b-e30a61c4411a,FALSE,MktgEvnt,MktgAdv,LeftOuter,TRUE,278408616,f47cd148-fdcd-4243-9983-b25a00df7635
,zES_QuoteLines,3b48cc3e-ae11-4529-ac6a-285d5fc4411a,986fc765-258d-406a-bea8-e30a61c4411a,FALSE,QuoteHed,MktgEvnt,LeftOuter,TRUE,278408617,40f13f70-ed4a-4d09-bb7b-b25a00df7635
,zES_Resource,5df3d85a-44f2-49bf-8b81-903135d010dc,30729787-3244-46d7-bf8c-185534379197,FALSE,Resource,DynAttrValueSet,LeftOuter,TRUE,278408618,110ddc56-2cb3-4ebe-ac05-b25a00df7635
,zES_Resource,5df3d85a-44f2-49bf-8b81-903135d010dc,1a62dc93-52a7-4780-a2f9-1a3c4f8d00f8,FALSE,DynAttrValue,DynAttrClassDtlListVal,LeftOuter,TRUE,278408619,ac795805-da7d-451e-a87a-b25a00df7635
,zES_Resource,5df3d85a-44f2-49bf-8b81-903135d010dc,6c04a9e4-ead5-4659-8292-c857b7d00f3a,TRUE,DynAttrValueSet,DynAttrValue,LeftOuter,TRUE,278408620,8d38d826-8737-459f-88c9-b25a00df7635
,zES_ResourceGroup,043aaeb0-6516-409f-ae61-c5fc09fa11dc,53719802-02c4-4bc5-b53b-6d5b6a7e00a2,FALSE,ResourceGroup,DynAttrValueSet,LeftOuter,TRUE,278408621,0c71e315-7e6f-436f-831a-b25a00df7635
,zES_ResourceGroup,043aaeb0-6516-409f-ae61-c5fc09fa11dc,dab683cb-dea0-428e-a750-91c85b0d4ab1,FALSE,DynAttrValue,DynAttrClassDtlListVal,LeftOuter,TRUE,278408622,94306684-5d69-4ff0-8062-b25a00df7635
,zES_ResourceGroup,043aaeb0-6516-409f-ae61-c5fc09fa11dc,fe0f7c99-0c67-486a-9139-e7826fad8279,TRUE,DynAttrValueSet,DynAttrValue,LeftOuter,TRUE,278408623,eb3e0dbc-7fae-4b13-b42d-b25a00df7635
,zES_SalesOrder,bb371bdd-340d-4fe6-9393-0ed073c4411a,a3e71feb-f8d6-4d1e-801c-639374c4411a,FALSE,OrderHed,CustCnt,LeftOuter,TRUE,278408624,61b31995-42ed-4e91-87cd-b25a00df7635
,zES_SalesOrder,bb371bdd-340d-4fe6-9393-0ed073c4411a,259b1fc8-3a46-46dd-83c7-639374c4411a,FALSE,OrderHed,ShipVia,LeftOuter,TRUE,278408625,75593bf8-f004-4dd3-9dcc-b25a00df7635
,zES_SalesOrder,bb371bdd-340d-4fe6-9393-0ed073c4411a,1c589460-1a00-465e-8a95-639374c4411a,FALSE,OrderHed,ShipTo,LeftOuter,TRUE,278408626,1aecc2b8-9603-4fc4-ad86-b25a00df7635
,zES_SalesOrder,bb371bdd-340d-4fe6-9393-0ed073c4411a,f4c614c6-8a37-4c0a-9c3a-639374c4411a,FALSE,Customer,SalesTer,Inner,TRUE,278408627,491030f6-0700-4208-8a0b-b25a00df7635
,zES_SalesOrder,bb371bdd-340d-4fe6-9393-0ed073c4411a,eb00ece0-d7af-4140-9f85-639374c4411a,FALSE,OrderHed,Customer,Inner,TRUE,278408628,ab4cbd23-34fc-4015-82c9-b25a00df7635
,zES_SalesOrder,bb371bdd-340d-4fe6-9393-0ed073c4411a,9a475e2a-f891-4531-ab65-639374c4411a,FALSE,OrderHed,Currency,LeftOuter,TRUE,278408629,ba9aaa65-b419-45d3-962e-b25a00df7635
,zES_SalesOrder,bb371bdd-340d-4fe6-9393-0ed073c4411a,b68f7749-f3bb-4277-b7e0-639374c4411a,FALSE,OrderHed,Terms,LeftOuter,TRUE,278408630,d7244e04-8b51-4e29-976a-b25a00df7635
,zES_SalesOrderLines,b60bfe92-2490-4f4a-ad89-38df88c4411a,7d4bd791-ef31-448d-82d1-645a99c4411a,FALSE,OrderDtl,PriceLst,LeftOuter,TRUE,278408631,89e11748-a903-4f02-ba76-b25a00df7635
,zES_SalesOrderLines,b60bfe92-2490-4f4a-ad89-38df88c4411a,5e32924c-9e68-4a2e-864b-645a99c4411a,FALSE,OrderDtl,MktgEvnt,LeftOuter,TRUE,278408632,46ce6b2a-6a17-4291-b67c-b25a00df7635
,zES_SalesOrderLines,b60bfe92-2490-4f4a-ad89-38df88c4411a,6b19d875-7112-4be8-8fcd-645a99c4411a,FALSE,MktgEvnt,MktgPub,LeftOuter,TRUE,278408633,40a6ef9c-9f99-4bb0-8928-b25a00df7635
,zES_SalesOrderLines,b60bfe92-2490-4f4a-ad89-38df88c4411a,c6f8171d-4206-4504-94e5-645a99c4411a,FALSE,OrderDtl,ProdGrup,LeftOuter,TRUE,278408634,f63cc886-4964-4fe9-806c-b25a00df7635
,zES_SalesOrderLines,b60bfe92-2490-4f4a-ad89-38df88c4411a,550fd60e-1a39-4356-a0f5-645a99c4411a,FALSE,OrderDtl,MktgCamp,LeftOuter,TRUE,278408635,50db2d61-209e-451a-b247-b25a00df7635
,zES_SalesOrderLines,b60bfe92-2490-4f4a-ad89-38df88c4411a,8eadec05-f28a-4f62-b220-645a99c4411a,FALSE,OrderDtl,Customer,Inner,TRUE,278408636,bd4b1101-6e48-4e7d-bff8-b25a00df7635
,zES_SalesOrderLines,b60bfe92-2490-4f4a-ad89-38df88c4411a,a753ddcc-e10e-40aa-b716-645a99c4411a,FALSE,MktgEvnt,MktgAdv,LeftOuter,TRUE,278408637,1cefdc76-f45c-44b2-85d1-b25a00df7635
,zES_SerialNumber,5010f2e4-d06f-4a66-bcc4-7ef8abc4411a,f0379b6c-44de-48fb-92d4-54fabdc4411a,FALSE,SNTran,ShipDtl,Inner,TRUE,278408638,d215db5b-9b32-4a78-aad5-b25a00df7635
,zES_SerialNumber,5010f2e4-d06f-4a66-bcc4-7ef8abc4411a,3cc25099-a551-4594-9532-54fabdc4411a,TRUE,Customer,SNTran,Inner,TRUE,278408639,e261af36-5075-4511-8b5d-b25a00df7635
,zES_Shipment,0e3f8578-6756-4de2-a26f-e5a9d1c4411a,54ed9466-b388-4b5b-8a79-e8dcf1c4411a,FALSE,ShipHead,ShipVia,LeftOuter,TRUE,278408640,546b98d2-6e77-4281-bbac-b25a00df7635
,zES_Shipment,0e3f8578-6756-4de2-a26f-e5a9d1c4411a,270cc5cb-3cb6-4560-8fb3-e8dcf1c4411a,FALSE,ShipHead,PackClss,LeftOuter,TRUE,278408641,560b5a28-da71-4aa9-a683-b25a00df7635
,zES_Shipment,0e3f8578-6756-4de2-a26f-e5a9d1c4411a,e7f8f031-6e36-473f-b5b3-e8dcf1c4411a,FALSE,ShipHead,Packing,LeftOuter,TRUE,278408642,1c4f13f3-484e-470c-ad67-b25a00df7635
,zES_Shipment,0e3f8578-6756-4de2-a26f-e5a9d1c4411a,c72c25fa-7e3c-4bc2-b6b8-e8dcf1c4411a,FALSE,ShipHead,ShipTo,Inner,TRUE,278408643,fcad9bbd-e5ce-409e-a803-b25a00df7635
,zES_Shipment,0e3f8578-6756-4de2-a26f-e5a9d1c4411a,f64e81c4-7da9-4418-bb49-e8dcf1c4411a,FALSE,ShipHead,Customer,LeftOuter,TRUE,278408644,4a8bed22-6750-40dd-899f-b25a00df7635
,zES_ShipmentLines,d5d05a97-6aa8-411f-9e23-12ec06c5411a,0c6e61a2-e9ac-4180-84e3-bc7208c5411a,FALSE,ShipDtl,Warehse,LeftOuter,TRUE,278408645,0566508c-93f3-4f2a-9a9b-b25a00df7635
,zES_ShipmentLines,d5d05a97-6aa8-411f-9e23-12ec06c5411a,9e09a5f8-85c1-477b-8cc1-bc7208c5411a,FALSE,ShipDtl,Customer,Inner,TRUE,278408646,d787309d-5d51-4e21-83a1-b25a00df7635
,zES_ShipmentLines,d5d05a97-6aa8-411f-9e23-12ec06c5411a,0ba3f634-d60b-448f-9189-bc7208c5411a,FALSE,ShipDtl,FSWarrCd,LeftOuter,TRUE,278408647,35abd74a-ecbe-4f09-869c-b25a00df7635
